Feature Set,Model,Fold,Test Start,Test End,AUC
Event Only,XGBoost,25,2016-06-09,2016-08-31,0.5411568409343716
Event Only,Logistic Regression,26,2016-09-01,2016-11-23,0.408930669800235
Event Only,Random Forest,26,2016-09-01,2016-11-23,0.40599294947121034
Event Only,XGBoost,26,2016-09-01,2016-11-23,0.5487661574618096
Event Only,Logistic Regression,27,2016-11-24,2017-02-15,0.5328142380422691
Event Only,Random Forest,27,2016-11-24,2017-02-15,0.5773081201334815
Event Only,XGBoost,27,2016-11-24,2017-02-15,0.5005561735261401
Event Only,Logistic Regression,28,2017-02-16,2017-05-10,0.4662857142857143
Event Only,Random Forest,28,2017-02-16,2017-05-10,0.5205714285714285
Event Only,XGBoost,28,2017-02-16,2017-05-10,0.5045714285714286
Event Only,Logistic Regression,29,2017-05-11,2017-08-03,0.4916294642857143
Event Only,Random Forest,29,2017-05-11,2017-08-03,0.4486607142857143
Event Only,XGBoost,29,2017-05-11,2017-08-03,0.48939732142857145
Event Only,Logistic Regression,30,2017-08-04,2017-10-26,0.43153759820426496
Event Only,Random Forest,30,2017-08-04,2017-10-26,0.4399551066217733
Event Only,XGBoost,30,2017-08-04,2017-10-26,0.42480359147025815
Event Only,Logistic Regression,31,2017-10-27,2018-01-19,0.5016741071428572
Event Only,Random Forest,31,2017-10-27,2018-01-19,0.4776785714285714
Event Only,XGBoost,31,2017-10-27,2018-01-19,0.49497767857142855
Event Only,Logistic Regression,32,2018-01-22,2018-04-13,0.39674523007856344
Event Only,Random Forest,32,2018-01-22,2018-04-13,0.452300785634119
Event Only,XGBoost,32,2018-01-22,2018-04-13,0.462962962962963
Event Only,Logistic Regression,33,2018-04-16,2018-07-06,0.38178733031674206
Event Only,Random Forest,33,2018-04-16,2018-07-06,0.5096153846153846
Event Only,XGBoost,33,2018-04-16,2018-07-06,0.38574660633484165
Event Only,Logistic Regression,34,2018-07-09,2018-09-28,0.5717463848720801
Event Only,Random Forest,34,2018-07-09,2018-09-28,0.5973303670745272
Event Only,XGBoost,34,2018-07-09,2018-09-28,0.6129032258064517
Event Only,Logistic Regression,35,2018-10-01,2018-12-21,0.44722222222222224
Event Only,Random Forest,35,2018-10-01,2018-12-21,0.4188888888888889
Event Only,XGBoost,35,2018-10-01,2018-12-21,0.44611111111111107
Event Only,Logistic Regression,36,2018-12-24,2019-03-15,0.5379464285714286
Event Only,Random Forest,36,2018-12-24,2019-03-15,0.6255580357142857
Event Only,XGBoost,36,2018-12-24,2019-03-15,0.45870535714285715
Event Only,Logistic Regression,37,2019-03-18,2019-06-10,0.4682981090100111
Event Only,Random Forest,37,2019-03-18,2019-06-10,0.4833147942157953
Event Only,XGBoost,37,2019-03-18,2019-06-10,0.4510567296996663
Event Only,Logistic Regression,38,2019-06-11,2019-09-02,0.3923444976076555
Event Only,Random Forest,38,2019-06-11,2019-09-02,0.4174641148325359
Event Only,XGBoost,38,2019-06-11,2019-09-02,0.3893540669856459
Event Only,Logistic Regression,39,2019-09-03,2019-11-25,0.5668571428571428
Event Only,Random Forest,39,2019-09-03,2019-11-25,0.4811428571428572
Event Only,XGBoost,39,2019-09-03,2019-11-25,0.5422857142857143
Event Only,Logistic Regression,40,2019-11-26,2020-02-17,0.44938820912124583
Event Only,Random Forest,40,2019-11-26,2020-02-17,0.4733036707452725
Event Only,XGBoost,40,2019-11-26,2020-02-17,0.5422691879866519
Event Only,Logistic Regression,41,2020-02-18,2020-05-11,0.44084821428571425
Event Only,Random Forest,41,2020-02-18,2020-05-11,0.34040178571428575
Event Only,XGBoost,41,2020-02-18,2020-05-11,0.4308035714285714
Event Only,Logistic Regression,42,2020-05-12,2020-08-03,0.46063454759106937
Event Only,Random Forest,42,2020-05-12,2020-08-03,0.3995299647473561
Event Only,XGBoost,42,2020-05-12,2020-08-03,0.4800235017626322
Event Only,Logistic Regression,43,2020-08-04,2020-10-26,0.6017797552836486
Event Only,Random Forest,43,2020-08-04,2020-10-26,0.5995550611790879
Event Only,XGBoost,43,2020-08-04,2020-10-26,0.47719688542825367
Event Only,Logistic Regression,44,2020-10-27,2021-01-18,0.48828125
Event Only,Random Forest,44,2020-10-27,2021-01-18,0.4983258928571428
Event Only,XGBoost,44,2020-10-27,2021-01-18,0.5033482142857143
Event Only,Logistic Regression,45,2021-01-19,2021-04-12,0.5127777777777778
Event Only,Random Forest,45,2021-01-19,2021-04-12,0.4722222222222222
Event Only,XGBoost,45,2021-01-19,2021-04-12,0.3861111111111111
Event Only,Logistic Regression,46,2021-04-13,2021-07-05,0.49610678531701896
Event Only,Random Forest,46,2021-04-13,2021-07-05,0.5506117908787542
Event Only,XGBoost,46,2021-04-13,2021-07-05,0.6390433815350389
Event Only,Logistic Regression,47,2021-07-06,2021-09-27,0.5435520361990951
Event Only,Random Forest,47,2021-07-06,2021-09-27,0.5203619909502263
Event Only,XGBoost,47,2021-07-06,2021-09-27,0.45984162895927605
Event Only,Logistic Regression,48,2021-09-28,2021-12-20,0.5613839285714286
Event Only,Random Forest,48,2021-09-28,2021-12-20,0.5686383928571428
Event Only,XGBoost,48,2021-09-28,2021-12-20,0.4933035714285714
Event Only,Logistic Regression,49,2021-12-21,2022-03-14,0.5124434389140271
Event Only,Random Forest,49,2021-12-21,2022-03-14,0.498868778280543
Event Only,XGBoost,49,2021-12-21,2022-03-14,0.5497737556561086
Event Only,Logistic Regression,50,2022-03-15,2022-06-06,0.5651428571428572
Event Only,Random Forest,50,2022-03-15,2022-06-06,0.5537142857142857
Event Only,XGBoost,50,2022-03-15,2022-06-06,0.5371428571428571
Event Only,Logistic Regression,51,2022-06-07,2022-08-29,0.667964404894327
Event Only,Random Forest,51,2022-06-07,2022-08-29,0.5055617352614016
Event Only,XGBoost,51,2022-06-07,2022-08-29,0.5617352614015573
Event Only,Logistic Regression,52,2022-08-30,2022-11-21,0.5491071428571428
Event Only,Random Forest,52,2022-08-30,2022-11-21,0.5234375
Event Only,XGBoost,52,2022-08-30,2022-11-21,0.5033482142857142
Event Only,Logistic Regression,53,2022-11-22,2023-02-13,0.57421875
Event Only,Random Forest,53,2022-11-22,2023-02-13,0.4921875
Event Only,XGBoost,53,2022-11-22,2023-02-13,0.6428571428571428
Event Only,Logistic Regression,54,2023-02-14,2023-05-08,0.47879464285714285
Event Only,Random Forest,54,2023-02-14,2023-05-08,0.5714285714285714
Event Only,XGBoost,54,2023-02-14,2023-05-08,0.5652901785714286
